fecha,autoridad_ambiental,nombre_de_la_estaci_n,tecnolog_a,latitud,longitud,c_digo_del_departamento,departamento,c_digo_del_municipio,nombre_del_municipio,tipo_de_estaci_n,tiempo_de_exposici_n,variable,unidades,concentraci_n,geocoded_column
08/09/2017 04:00:00 p. m.,EPA Barranquilla Verde,Estación Móvil,Automática,10.994389,-74.789667,8,ATLÁNTICO,8001,BARRANQUILLA,Fija,1,CO,µg/m3,516.403,"{'latitude': '10.994389', 'longitude': '-74.789667'}"
08/09/2017 05:00:00 p. m.,EPA Barranquilla Verde,Estación Móvil,Automática,10.994389,-74.789667,8,ATLÁNTICO,8001,BARRANQUILLA,Fija,1,CO,µg/m3,1387.22,"{'latitude': '10.994389', 'longitude': '-74.789667'}"
08/09/2017 06:00:00 p. m.,EPA Barranquilla Verde,Estación Móvil,Automática,10.994389,-74.789667,8,ATLÁNTICO,8001,BARRANQUILLA,Fija,1,CO,µg/m3,1198.522,"{'latitude': '10.994389', 'longitude': '-74.789667'}"
08/09/2017 07:00:00 p. m.,EPA Barranquilla Verde,Estación Móvil,Automática,10.994389,-74.789667,8,ATLÁNTICO,8001,BARRANQUILLA,Fija,1,CO,µg/m3,911.764,"{'latitude': '10.994389', 'longitude': '-74.789667'}"
08/09/2017 08:00:00 p. m.,EPA Barranquilla Verde,Estación Móvil,Automática,10.994389,-74.789667,8,ATLÁNTICO,8001,BARRANQUILLA,Fija,1,CO,µg/m3,1157.924,"{'latitude': '10.994389', 'longitude': '-74.789667'}"
08/09/2017 09:00:00 p. m.,EPA Barranquilla Verde,Estación Móvil,Automática,10.994389,-74.789667,8,ATLÁNTICO,8001,BARRANQUILLA,Fija,1,CO,µg/m3,1200.341,"{'latitude': '10.994389', 'longitude': '-74.789667'}"
08/09/2017 10:00:00 p. m.,EPA Barranquilla Verde,Estación Móvil,Automática,10.994389,-74.789667,8,ATLÁNTICO,8001,BARRANQUILLA,Fija,1,CO,µg/m3,981.809,"{'latitude': '10.994389', 'longitude': '-74.789667'}"
08/09/2017 11:00:00 p. m.,EPA Barranquilla Verde,Estación Móvil,Automática,10.994389,-74.789667,8,ATLÁNTICO,8001,BARRANQUILLA,Fija,1,CO,µg/m3,592.224,"{'latitude': '10.994389', 'longitude': '-74.789667'}"
09/09/2017 12:00:00 a. m.,EPA Barranquilla Verde,Estación Móvil,Automática,10.994389,-74.789667,8,ATLÁNTICO,8001,BARRANQUILLA,Fija,1,CO,µg/m3,544.831,"{'latitude': '10.994389', 'longitude': '-74.789667'}"
09/09/2017 01:00:00 a. m.,EPA Barranquilla Verde,Estación Móvil,Automática,10.994389,-74.789667,8,ATLÁNTICO,8001,BARRANQUILLA,Fija,1,CO,µg/m3,403.446,"{'latitude': '10.994389', 'longitude': '-74.789667'}"
09/09/2017 02:00:00 a. m.,EPA Barranquilla Verde,Estación Móvil,Automática,10.994389,-74.789667,8,ATLÁNTICO,8001,BARRANQUILLA,Fija,1,CO,µg/m3,503.906,"{'latitude': '10.994389', 'longitude': '-74.789667'}"
09/09/2017 03:00:00 a. m.,EPA Barranquilla Verde,Estación Móvil,Automática,10.994389,-74.789667,8,ATLÁNTICO,8001,BARRANQUILLA,Fija,1,CO,µg/m3,223.653,"{'latitude': '10.994389', 'longitude': '-74.789667'}"
09/09/2017 04:00:00 a. m.,EPA Barranquilla Verde,Estación Móvil,Automática,10.994389,-74.789667,8,ATLÁNTICO,8001,BARRANQUILLA,Fija,1,CO,µg/m3,251.38,"{'latitude': '10.994389', 'longitude': '-74.789667'}"
